Do you agree to participate? ,"Have you ever interacted with an AI-based customer service tool (e.g., chatbot, voice assistant)? ",How often do you interact with AI customer service tools? ,In which of the following service areas have you experienced AI-based customer service? ,AI customer service tools help me find the information I need efficiently. ,AI systems are able to provide accurate answers to my questions.,AI tools make it easier to solve simple service-related issues.,I am usually satisfied with the results provided by AI customer service systems. ,AI customer service tools improve my overall experience with the company. ,Using AI customer service tools saves me time.,AI systems are available whenever I need assistance. ,I find it easy to access AI-based support on company websites or apps. ,The process of interacting with an AI chatbot or assistant is straightforward. ,AI-based customer service helps me resolve issues without waiting in line for human support. ,I believe AI customer service tools provide reliable information. ,I trust AI chatbots to handle my customer queries properly. ,I feel confident that AI systems respond to my requests accurately. ,I consider AI-based customer service tools credible. ,I believe AI assistants are designed to serve customers’ best interests. ,I find it easy to communicate my needs when using AI customer service tools. ,AI systems usually understand my questions correctly. ,Interacting with AI systems feels smooth and efficient. ,AI tools guide me clearly through the support process. ,AI-based customer service meets my expectations most of the time. ,AI customer service is suitable for handling simple inquiries. ,I prefer using AI tools when I need quick answers. ,I am comfortable relying on AI systems for common service tasks. ,"I believe human agents should focus on complex issues, while AI handles routine ones. ",I would be willing to use AI customer service again in the future. ,I would recommend AI-based customer support to others. ,I believe companies benefit from using AI alongside human customer service teams. ,I would prefer AI-based support over human support for routine tasks. ,I would recommend companies that use AI for customer service. ,I will likely continue using AI-based support in the future. ,What is your age group? ,What is your gender? ,What is your highest level of education completed? ,Which region or country do you currently live in? ,How comfortable are you using new technologies in daily life? 
I agree,Yes,Rarely,Retail or online shopping,5,5,1,3,2,1,4,5,5,1,1,5,4,3,3,1,1,3,4,4,1,4,2,2,3,4,4,3,4,4,35–44,Male,Bachelor degree,Asia,Neutral
I agree,Yes,Occasionally,"Banking or financial services,Travel or hospitality,Other sectors",3,4,5,4,3,3,5,4,4,4,3,2,3,4,4,3,3,4,3,4,5,5,5,5,5,5,5,3,5,5,18–24,Male,Master degree,Europe,Very uncomfortable
I agree,Yes,Rarely,"Retail or online shopping,Other sectors",2,1,2,1,1,1,3,3,3,1,3,1,2,2,1,2,1,1,2,3,3,1,1,2,1,1,3,1,1,2,35–44,"Non-binary,other",High school or equivalent,Europe,Slightly uncomfortable
I agree,Yes,Occasionally,"Retail or online shopping,Banking or financial services,Travel or hospitality,Healthcare",3,2,3,4,3,4,4,4,3,4,2,4,4,2,2,4,3,4,3,4,4,4,3,4,3,3,2,1,2,3,25–34,Female,Bachelor degree,Asia,Somewhat comfortable
I agree,Yes,Rarely,"Retail or online shopping,Banking or financial services,Healthcare",2,2,2,2,2,3,4,3,4,1,2,2,2,2,3,1,1,4,2,1,5,5,1,5,2,2,4,1,1,1,25–34,Female,Bachelor degree,Asia,Somewhat comfortable
I agree,Yes,Rarely,"Retail or online shopping,Banking or financial services,Telecommunications or internet services,Healthcare",1,1,1,1,1,1,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18–24,Male,Master degree,Europe,Somewhat comfortable
I agree,Yes,Occasionally,"Retail or online shopping,Travel or hospitality,Other sectors",3,3,3,2,3,4,4,3,5,4,3,2,2,3,3,3,2,2,3,2,3,4,4,3,3,3,3,3,4,4,18–24,Female,Master degree,Asia,Neutral
I agree,Yes,Frequently,"Retail or online shopping,Banking or financial services,Telecommunications or internet services,Travel or hospitality,Healthcare",4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,2,2,5,3,5,5,5,3,3,4,18–24,Male,Master degree,Europe,Very comfortable
I agree,Yes,Rarely,"Retail or online shopping,Telecommunications or internet services",1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,55–64,Male,Some college or diploma,Europe,Somewhat comfortable
I agree,Yes,Occasionally,"Retail or online shopping,Banking or financial services,Telecommunications or internet services",4,3,4,3,3,4,4,3,4,3,4,2,2,2,4,3,4,2,4,3,5,5,4,5,4,2,4,2,5,4,25–34,Female,Bachelor degree,Asia,Somewhat comfortable
I agree,No,Never,I have not used any,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25–34,Female,Master degree,North America,Neutral
I agree,Yes,Frequently,"Telecommunications or internet services,Other sectors",4,3,4,4,3,3,5,4,3,2,1,1,1,1,1,1,4,3,1,1,2,3,3,5,3,1,5,1,1,1,18–24,Male,Bachelor degree,Asia,Very comfortable
I agree,Yes,Occasionally,"Retail or online shopping,Telecommunications or internet services,Travel or hospitality",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18–24,Female,Master degree,Europe,Somewhat comfortable
I agree,Yes,Rarely,"Retail or online shopping,Banking or financial services,Telecommunications or internet services,Travel or hospitality,Healthcare",4,3,5,3,3,2,5,4,5,3,3,3,3,4,4,3,3,3,4,2,5,4,5,5,4,4,5,5,5,4,18–24,Male,Bachelor degree,Asia,Very comfortable
I agree,Yes,Frequently,Other sectors,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,4,3,3,3,25–34,Male,Bachelor degree,Asia,Somewhat comfortable
I agree,No,Occasionally,Travel or hospitality,4,3,4,2,4,4,5,4,4,3,4,3,3,4,4,4,3,5,5,5,4,5,5,5,5,5,5,4,5,4,18–24,Female,Some college or diploma,Asia,Neutral
I agree,Yes,Rarely,Other sectors,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,2,2,5,3,3,2,4,3,3,3,5,18–24,Male,Bachelor degree,Asia,Very comfortable
I agree,Yes,Occasionally,Other sectors,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,18–24,Male,Bachelor degree,Asia,Very comfortable
I agree,Yes,Occasionally,"Retail or online shopping,Banking or financial services,Telecommunications or internet services",3,1,2,2,1,2,4,3,3,4,3,3,3,2,3,2,1,2,3,3,1,2,1,3,2,1,1,2,2,2,18–24,Male,Bachelor degree,Asia,Somewhat comfortable
I agree,Yes,Frequently,"Retail or online shopping,Banking or financial services,Telecommunications or internet services",1,1,2,3,3,1,3,2,2,2,2,3,1,1,3,1,2,2,1,1,2,2,2,2,3,2,3,3,3,2,18–24,Male,Bachelor degree,Asia,Somewhat comfortable
I agree,Yes,Rarely,"Banking or financial services,Travel or hospitality",1,1,3,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,35–44,Female,Master degree,Oceania,Very comfortable
I agree,Yes,Occasionally,Retail or online shopping,3,2,2,1,3,1,4,1,2,2,2,2,2,2,1,4,4,1,4,3,2,5,4,4,5,3,4,5,4,4,18–24,Male,Doctorate or higher,Asia,Somewhat comfortable
I agree,Yes,Occasionally,Telecommunications or internet services,3,3,2,4,2,1,4,3,4,2,4,3,3,3,4,3,2,2,4,3,4,4,4,4,4,3,3,1,2,3,18–24,Female,Bachelor degree,Europe,Very comfortable
I agree,No,Frequently,"Retail or online shopping,Banking or financial services,Telecommunications or internet services",2,3,4,2,2,1,3,2,2,3,3,2,1,2,2,2,2,2,3,2,4,4,4,4,3,3,3,2,2,3,18–24,Female,Bachelor degree,Asia,Neutral
I agree,Yes,Rarely,"Banking or financial services,Telecommunications or internet services,Other sectors",1,1,1,1,1,1,5,5,2,5,1,1,2,2,3,1,1,1,2,1,3,1,2,5,1,1,3,2,1,1,35–44,Male,Master degree,Europe,Neutral
I agree,Yes,Occasionally,"Retail or online shopping,Telecommunications or internet services,Travel or hospitality,Other sectors",3,3,3,3,3,4,4,3,4,4,3,2,3,4,3,5,3,3,5,1,5,3,3,5,4,3,3,2,4,3,18–24,Female,Bachelor degree,Asia,Neutral
I agree,Yes,Occasionally,Retail or online shopping,2,2,3,2,2,2,4,3,4,3,3,3,2,3,4,4,3,3,4,2,4,4,5,5,4,3,4,5,5,4,18–24,Female,High school or equivalent,Asia,Very comfortable
I agree,Yes,Frequently,"Travel or hospitality,Healthcare",3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18–24,Female,High school or equivalent,Asia,Somewhat comfortable
I agree,Yes,Occasionally,"Retail or online shopping,Banking or financial services",2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,3,1,3,2,25–34,Male,Master degree,Europe,Somewhat comfortable
I agree,Yes,Rarely,"Retail or online shopping,Banking or financial services,Telecommunications or internet services,Other sectors",3,3,3,2,3,3,3,3,4,4,3,3,2,2,3,3,3,3,4,2,5,5,3,2,3,4,3,2,2,2,18–24,Male,Master degree,Asia,Somewhat comfortable
I agree,I’m not sure,Occasionally,Telecommunications or internet services,1,1,2,1,2,2,3,2,1,4,3,2,2,3,4,3,1,1,1,1,3,3,2,3,4,1,3,3,2,3,25–34,Male,Master degree,Asia,Very comfortable
I agree,Yes,Occasionally,"Banking or financial services,Other sectors",3,2,4,3,2,3,4,4,4,4,4,3,3,3,4,2,2,2,3,3,4,4,3,4,4,2,4,4,3,4,35–44,Female,Master degree,Europe,Somewhat comfortable
I agree,Yes,Frequently,Telecommunications or internet services,5,4,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,18–24,Female,Bachelor degree,Asia,Very comfortable
I agree,Yes,Rarely,"Retail or online shopping,Banking or financial services",2,2,1,2,1,2,4,4,4,2,1,1,1,1,1,4,2,1,1,3,1,1,1,2,2,1,2,1,1,1,35–44,Male,Bachelor degree,North America,Very comfortable
I agree,Yes,Rarely,"Retail or online shopping,Banking or financial services",3,1,4,2,3,3,5,3,5,3,5,3,4,5,3,1,1,2,3,1,5,4,5,5,4,4,5,3,4,4,18–24,Female,Bachelor degree,North America,Neutral
I agree,Yes,Rarely,"Retail or online shopping,Telecommunications or internet services",1,2,2,1,1,1,3,3,3,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,45–54,Prefer not to say,Some college or diploma,North America,Neutral
I agree,I’m not sure,Rarely,Other sectors,3,3,3,3,3,3,5,3,3,5,3,3,3,4,3,3,3,4,4,3,5,3,3,4,3,3,4,3,3,3,25–34,Male,Some college or diploma,Asia,Very comfortable
I agree,Yes,Frequently,"Telecommunications or internet services,Travel or hospitality",3,3,3,3,3,3,3,3,2,5,2,3,4,1,5,2,1,4,2,4,5,3,2,1,5,4,5,4,2,5,18–24,Male,Master degree,Asia,Very comfortable
I agree,Yes,Rarely,"Retail or online shopping,Banking or financial services,Telecommunications or internet services,Travel or hospitality",3,3,4,3,3,4,4,4,4,4,2,2,2,3,3,4,3,4,4,3,5,3,3,5,4,3,5,4,4,4,18–24,Female,Bachelor degree,Europe,Very comfortable
I agree,Yes,Occasionally,"Banking or financial services,Telecommunications or internet services",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,18–24,Female,Bachelor degree,Asia,Somewhat comfortable
I agree,Yes,Occasionally,I have not used any,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18–24,Male,Bachelor degree,Europe,Very comfortable
I agree,Yes,Rarely,"Banking or financial services,Telecommunications or internet services,Other sectors",2,1,2,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,3,3,3,3,3,3,3,3,2,3,25–34,Female,Some college or diploma,Europe,Neutral
I agree,No,Rarely,"Banking or financial services,Telecommunications or internet services",3,2,3,2,3,3,4,2,3,2,3,2,1,2,3,4,2,3,4,2,2,3,4,3,2,2,3,4,2,2,18–24,Female,Bachelor degree,Africa,Neutral
I agree,I’m not sure,Frequently,"Telecommunications or internet services,Healthcare",5,3,2,4,2,4,1,2,2,2,4,2,4,2,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,18–24,Female,Bachelor degree,South America,Slightly uncomfortable
I agree,Yes,Frequently,"Retail or online shopping,Banking or financial services,Travel or hospitality,Healthcare",5,3,4,4,4,3,4,3,4,3,4,4,5,3,4,3,5,3,5,4,3,4,3,4,4,4,4,4,4,4,18–24,Female,Bachelor degree,North America,Somewhat comfortable
I agree,Yes,Frequently,"Retail or online shopping,Banking or financial services,Telecommunications or internet services,Travel or hospitality,Other sectors",2,2,2,2,2,4,3,3,4,2,4,3,2,1,4,2,2,2,2,2,4,4,3,2,4,2,4,2,3,2,18–24,Female,Some college or diploma,Oceania,Very comfortable
I agree,No,Occasionally,"Retail or online shopping,Banking or financial services",3,4,5,4,3,4,4,5,4,3,3,4,5,4,3,4,5,3,5,4,3,5,4,3,4,5,4,4,3,5,25–34,Female,Master degree,Oceania,Slightly uncomfortable
I agree,Yes,Occasionally,"Banking or financial services,Telecommunications or internet services,Healthcare,Other sectors",2,2,3,2,2,3,2,2,3,2,3,2,3,2,1,3,2,2,3,1,3,2,3,2,3,1,3,3,2,3,18–24,Male,Bachelor degree,Europe,Slightly uncomfortable
I agree,No,Rarely,"Travel or hospitality,Other sectors",3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,25–34,Female,Bachelor degree,Europe,Somewhat comfortable
I agree,Yes,Occasionally,"Retail or online shopping,Healthcare",4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,2,3,3,2,3,4,3,4,3,4,3,3,4,3,3,18–24,Male,Bachelor degree,Africa,Neutral
I agree,I’m not sure,Rarely,I have not used any,4,4,4,3,3,2,5,2,3,3,3,3,2,3,2,3,3,3,3,3,2,3,4,2,3,2,3,4,3,3,18–24,Female,Some college or diploma,Europe,Somewhat comfortable
I agree,Yes,Occasionally,"Retail or online shopping,Banking or financial services,Telecommunications or internet services",2,3,2,3,2,2,3,2,3,2,2,3,2,3,2,2,3,3,2,3,2,3,2,3,3,3,3,2,2,2,18–24,Female,Bachelor degree,Asia,Somewhat comfortable
I agree,Yes,Frequently,"Retail or online shopping,Banking or financial services,Telecommunications or internet services,Travel or hospitality",3,4,4,4,4,5,5,4,5,4,5,5,4,4,5,4,5,4,4,4,4,5,5,4,5,4,4,5,4,4,18–24,Male,Bachelor degree,Asia,Very comfortable
I agree,Yes,Rarely,Other sectors,2,2,2,2,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,3,3,2,3,3,2,3,2,2,3,2,18–24,Male,Bachelor degree,Europe,Slightly uncomfortable
I agree,I’m not sure,Occasionally,"Retail or online shopping,Banking or financial services,Telecommunications or internet services,Travel or hospitality",4,3,4,3,4,3,4,3,4,3,3,3,3,3,2,2,2,2,3,4,2,3,2,3,2,3,2,4,3,2,18–24,Female,Bachelor degree,Europe,Somewhat comfortable
I agree,Yes,Frequently,"Banking or financial services,Telecommunications or internet services,Travel or hospitality",4,4,4,3,4,3,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,3,4,4,4,3,4,4,18–24,Male,Bachelor degree,Asia,Somewhat comfortable
I agree,I’m not sure,Rarely,"Retail or online shopping,Banking or financial services,Telecommunications or internet services",4,3,3,4,3,2,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,3,2,2,2,2,2,3,3,3,18–24,Female,Bachelor degree,Africa,Somewhat comfortable
I agree,Yes,Frequently,Banking or financial services,4,5,4,5,5,5,4,5,4,5,5,4,5,4,5,5,4,5,5,5,4,5,4,5,4,4,5,4,5,5,18–24,Male,Bachelor degree,Asia,Very comfortable
I agree,Yes,Occasionally,Retail or online shopping,3,3,4,3,2,2,3,2,2,2,3,3,2,3,2,2,3,2,3,2,2,4,3,2,2,3,2,3,2,4,18–24,Female,Some college or diploma,Asia,Very comfortable
I agree,No,Rarely,"Telecommunications or internet services,Travel or hospitality",2,3,2,3,2,3,2,2,2,2,3,3,2,2,2,3,3,2,2,2,3,3,2,3,2,2,2,3,3,2,18–24,Female,Some college or diploma,Africa,Somewhat comfortable
I agree,Yes,Rarely,Retail or online shopping,3,3,2,2,3,3,2,3,3,2,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,3,2,3,18–24,Male,Bachelor degree,Asia,Slightly uncomfortable
I agree,Yes,Frequently,"Retail or online shopping,Travel or hospitality",4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,18–24,Male,Bachelor degree,Asia,Somewhat comfortable
